,SUN,MERCURY_BARYCENTER,VENUS_BARYCENTER,EARTH_BARYCENTER,MARS_BARYCENTER,JUPITER_BARYCENTER,SATURN_BARYCENTER,URANUS_BARYCENTER,NEPTUNE_BARYCENTER,PLUTO_BARYCENTER
SUN,0.0,59133582.93495896,108211240.23710448,149618408.20076272,228934815.69913587,779356140.532368,1429184728.7870982,2876189349.648672,4498784478.72432,6089996255.958503
MERCURY_BARYCENTER,59133582.93495896,0.0,116600789.38853586,155425678.75629523,233200990.44670224,780127612.211823,1429011645.2083523,2876453247.088377,4498881148.247829,6093709202.230527
VENUS_BARYCENTER,108211240.23710448,116600789.38853586,0.0,169960023.28494588,242098747.4853646,783153795.8651142,1431211026.9462583,2877142032.587272,4499422836.555714,6090528935.648432
EARTH_BARYCENTER,149618408.20076272,155425678.75629523,169960023.28494588,0.0,254526241.03720844,786601875.8227667,1432932125.938663,2877978268.890852,4500033774.06555,6091508791.251243
MARS_BARYCENTER,228934815.69913587,233200990.44670224,242098747.4853646,254526241.03720844,0.0,794934306.530116,1439097594.6258857,2882852936.825296,4501638403.974783,6095036812.18454
JUPITER_BARYCENTER,779356140.532368,780127612.211823,783153795.8651142,786601875.8227667,794934306.530116,0.0,1536801007.4199965,2930393153.0893044,4533611479.253947,6131302462.089285
SATURN_BARYCENTER,1429184728.7870982,1429011645.2083523,1431211026.9462583,1432932125.938663,1439097594.6258857,1536801007.4199965,0.0,3052307958.772473,4599678553.684202,6200117959.214088
URANUS_BARYCENTER,2876189349.648672,2876453247.088377,2877142032.587272,2877978268.890852,2882852936.825296,2930393153.0893044,3052307958.772473,0.0,4912942032.362117,6273566434.514441
NEPTUNE_BARYCENTER,4498784478.72432,4498881148.247829,4499422836.555714,4500033774.06555,4501638403.974783,4533611479.253947,4599678553.684202,4912942032.362117,0.0,7206704367.627461
PLUTO_BARYCENTER,6089996255.958503,6093709202.230527,6090528935.648432,6091508791.251243,6095036812.18454,6131302462.089285,6200117959.214088,6273566434.514441,7206704367.627461,0.0
